Unnamed: 0,max_degree,depth,outer_loops,0.1,0.5,0.75,0.8,0.9,0.95,1
conf_8_0.4_type_bfs_sample_0,3,4,6,1021339.99997315,124.000000000222,24.9766803842234,20.3381347651616,14.4498824892086,12.5168262868416,11.0000000001283
conf_8_0.4_type_dfs_sample_0,4,5,6,9013207.80391097,112.000000000368,16.2981952621858,13.0871986047669,9.19641313694881,7.95932147769919,7.00000000011621
conf_8_0.4_type_bfs_sample_1,5,4,5,222230.000002682,126.000000000476,27.0452674897047,21.7675781245518,14.9812867278586,12.7468489745879,10.9999999999985
conf_8_0.4_type_dfs_sample_1,3,7,5,202602734.094768,210.000000000666,24.8512929938514,20.0735664363356,14.310769015452,12.456632465346,10.999999999971
conf_8_0.4_type_bfs_sample_2,3,4,9,211339.999997472,107.999999999928,24.6255144032544,20.1855468744581,14.431065724912,12.5134253512428,10.9999999999941
conf_8_0.4_type_dfs_sample_2,2,8,2,905539.081079611,77.8400000002691,17.9250653413416,15.0317936063325,11.2699091553897,10.0051518311703,8.99999999998304
conf_8_0.4_type_bfs_sample_3,4,4,8,148752372.212275,229.999999997986,24.2456942540159,18.6795806880839,12.334418456505,10.4313494587559,9.00000000008627
conf_8_0.4_type_dfs_sample_3,2,8,2,904787.1809066,75.6000000001008,17.6906243022102,14.9000532166279,11.2442601462898,9.99948796631651,8.9999999999397
conf_8_0.4_type_bfs_sample_4,4,4,5,1659430.73144543,106.000000000374,20.0850480109557,16.3676757809723,11.7007946318511,10.1835347071103,9.00000000002452
conf_8_0.4_type_dfs_sample_4,4,4,5,90381439.9992434,255.999999999857,27.8469745465161,21.7194366449939,14.7124832108444,12.5983234612058,11.0000000001006
conf_10_0.3_type_bfs_sample_0,3,5,8,398820534.478728,275.111111111608,34.0894984512836,27.4655894739611,19.5044836133371,16.9712190440385,15.0000000000751
conf_10_0.3_type_dfs_sample_0,3,9,5,3668269320.52484,289.550000000014,33.4147631261623,27.1387150093033,19.4565185969819,16.9618198934448,14.999999999939
conf_10_0.3_type_bfs_sample_1,4,4,8,821002629.993878,365.777777779204,33.1017215977797,25.7023683175949,17.3753360311273,14.8829119241299,13.0000000000124
conf_10_0.3_type_dfs_sample_1,3,8,8,811639265.742326,266.640692640729,29.8594189749886,23.9963761396187,16.9783827532188,14.7433055486487,13.0000000000817
conf_10_0.3_type_bfs_sample_2,4,4,6,33114429590.0827,551.428571428634,32.5338333443168,25.2975237467428,17.2918970777812,14.8651058143919,12.999999999901
conf_10_0.3_type_dfs_sample_2,4,6,11,82258032.9876524,216.296296296535,27.3504596932102,21.5505862530168,14.7032184237001,12.5975606804666,10.9999999999476
conf_10_0.3_type_bfs_sample_3,4,4,9,10898054.3948533,237.999999999409,33.4394147233457,26.2734985344838,17.7140663046239,15.0445468548171,12.9999999999624
conf_10_0.3_type_dfs_sample_3,2,10,2,1641280.86611013,94.6105263159674,21.4396522183131,18.0976697333337,13.7184793741834,12.2160393203804,10.9999999999652
conf_10_0.3_type_bfs_sample_4,5,5,5,15088210118.5757,982.000000000257,42.4755711356732,30.433225630839,18.4778481658971,15.2832610153713,12.9999999999912
conf_10_0.3_type_dfs_sample_4,3,9,5,224377003.455056,160.666666666702,22.8526295632138,18.8538369673716,13.9053787629478,12.283914241726,11.0000000000908
conf_10_0.5_type_bfs_sample_0,7,3,5,9200578973.87738,1097.99999999646,44.2790618908179,30.1817043701219,16.7227843186222,13.3307195738955,11.0000000000215
conf_10_0.5_type_dfs_sample_0,3,8,8,141708264.390089,236.666666666936,29.631562462799,23.7973090645645,16.871840485848,14.6911387919097,13.0000000001285
conf_10_0.5_type_bfs_sample_1,6,3,6,17065692634.9892,1186.72727272531,44.2573780769829,30.3547837952321,16.9036592816995,13.4287562297541,10.9999999998602
conf_10_0.5_type_dfs_sample_1,2,10,2,9761514.21468635,168.000000000335,31.0964791952212,25.7693481436997,19.0251619858929,16.7834268217107,14.9999999998836
conf_10_0.5_type_bfs_sample_2,6,4,6,911022228.897051,508.139148495357,32.6606958177804,23.3390026058967,13.5600905004741,10.8906639818394,8.99999999991842
conf_10_0.5_type_dfs_sample_2,3,8,5,74139339.9985717,172.000000000286,28.293247980332,23.1934356681751,16.7892476638744,14.675248280361,12.9999999999865
conf_10_0.5_type_bfs_sample_3,4,3,6,8300718343.30069,788.948739494985,36.1246046539426,25.9260735323343,15.7367641566246,12.9831518326308,11.0000000001154
conf_10_0.5_type_dfs_sample_3,3,9,3,612209108.729984,198.53333333307,31.6051938428282,26.0979693216947,19.1490418332271,16.8388464315758,14.9999999997784
conf_10_0.5_type_bfs_sample_4,4,4,5,2661049284.89341,557.999999998911,32.6635167401896,24.1458892813879,15.2722479009214,12.8001164568566,10.9999999999924
conf_10_0.5_type_dfs_sample_4,3,9,5,1953469685.32682,326.746666666822,29.8584496985277,23.8802873131961,16.8836222755002,14.6937938603426,12.9999999999225
