Unnamed: 0,max_degree,depth,outer_loops,0.1,0.5,0.75,0.8,0.9,0.95,1
conf_8_0.4_type_bfs_sample_0,3,4,6,8205976.84684988,90.0000000002632,14.8056698673243,12.1682739254083,8.90386912387084,7.83931670961577,6.99999999986912
conf_8_0.4_type_dfs_sample_0,4,5,6,10706010.3362927,108.000000000318,15.996342020962,12.9263305660291,9.16807531061623,7.95336750205277,7.00000000007429
conf_8_0.4_type_bfs_sample_1,5,4,5,9200410.9797245,146.444444444316,18.6901408006828,14.465326424084,9.56347570031607,8.09451568380323,7.00000000000809
conf_8_0.4_type_dfs_sample_1,3,7,5,12713248.8344821,65.9999999999174,13.6643804299138,11.5274047847517,8.73263656942748,7.77452889109528,7.00000000000839
conf_8_0.4_type_bfs_sample_2,3,4,9,8290420.08006542,100.000000000438,15.3479715559827,12.4453639229439,8.94903550256098,7.8484990684128,6.99999999998502
conf_8_0.4_type_dfs_sample_2,2,8,2,7277891.61797439,56.0000000000068,13.0004572473309,11.1111450193296,8.59375003263479,7.71604938256476,7.00000000003381
conf_8_0.4_type_bfs_sample_3,4,4,8,8291230.00004335,102.000000000134,15.6616369456262,12.6809692379823,9.05797842300331,7.90086513733309,7.00000000013658
conf_8_0.4_type_dfs_sample_3,2,8,2,11638407.8507053,55.9999999995694,13.0004572473386,11.1111450193045,8.59375003266121,7.7160493825789,6.99999999998968
conf_8_0.4_type_bfs_sample_4,4,4,5,8287796.78207197,101.999999999878,15.6616369455642,12.6809692380001,9.05797842288101,7.90086513735039,7.00000000008147
conf_8_0.4_type_dfs_sample_4,4,4,5,8310375.94683303,102.000000001344,15.661636945594,12.6809692381659,9.05797842307433,7.90086513741896,7.00000000008194
conf_10_0.3_type_bfs_sample_0,3,5,8,1125090738.31144,179.299249576536,18.9033147026496,15.4027541469837,11.3027815775713,10.0098648423847,9.00000000010381
conf_10_0.3_type_dfs_sample_0,3,9,5,1134493477.45227,119.999999999978,17.959050957745,14.9907875058765,11.2497830232558,9.99999097524209,9.00000000003996
conf_10_0.3_type_bfs_sample_1,4,4,8,898512583.269687,233.77777777786,21.0164516541545,16.6872909579534,11.7206588234029,10.1853607064877,8.99999999992284
conf_10_0.3_type_dfs_sample_1,3,8,8,645798451.152668,162.000000000047,19.1558197429365,15.6460762020605,11.4214172343163,10.0647962917512,9.00000000008346
conf_10_0.3_type_bfs_sample_2,4,4,6,1639963985.30546,240.545454545152,20.9949300712003,16.6595544693313,11.7111124529174,10.1828834829914,9.00000000000336
conf_10_0.3_type_dfs_sample_2,4,6,11,718248336.764264,239.999999998901,21.4463242391768,16.8973731991116,11.7524879793687,10.1916444693126,9.00000000003291
conf_10_0.3_type_bfs_sample_3,4,4,9,811913217.430387,271.090909091395,22.2599879735773,17.3384670802651,11.8836967345947,10.2477359038543,8.99999999985853
conf_10_0.3_type_dfs_sample_3,2,10,2,268807565.8234,89.9999999999687,17.000050805258,14.4444465634028,11.0937500003887,9.93827160460245,9.00000000007941
conf_10_0.3_type_bfs_sample_4,5,5,5,1691104676.58782,358.849104298069,25.4560928027015,18.9711891615852,12.2013454950625,10.3410794247894,9.00000000012182
conf_10_0.3_type_dfs_sample_4,3,9,5,472087283.840591,113.999999999684,17.8877203678608,14.965152740098,11.2480706974827,9.99982900562455,8.99999999997343
conf_10_0.5_type_bfs_sample_0,7,3,5,1555365634.63904,595.77777777344,34.3826238991102,24.0407624824957,13.6320755398263,10.9022562622233,8.9999999999433
conf_10_0.5_type_dfs_sample_0,3,8,8,1130140466.78332,119.999999999839,17.9590509576776,14.9907875057847,11.2497830232332,9.99999097512494,9.00000000008779
conf_10_0.5_type_bfs_sample_1,6,3,6,911011230.040425,486.000000001536,29.52619011328,21.342716216522,12.9289146343846,10.6397302567948,8.99999999981202
conf_10_0.5_type_dfs_sample_1,2,10,2,305366233.447312,89.9999999998008,17.0000508052642,14.4444465634262,11.0937500003597,9.93827160460853,9.00000000007501
conf_10_0.5_type_bfs_sample_2,6,4,6,911011338.878491,490.363636364825,30.3212715610805,21.7808913307503,12.9994958942729,10.6531468277986,8.99999999997238
conf_10_0.5_type_dfs_sample_2,3,8,5,291167837.989461,140.666666666657,18.5221452326899,15.2684575030024,11.2940440528561,10.0090468594441,8.99999999989793
conf_10_0.5_type_bfs_sample_3,4,3,6,827731559.052294,358.015999998168,25.2314565394228,18.8735634891986,12.1933124806317,10.3402851348649,9.00000000005049
conf_10_0.5_type_dfs_sample_3,3,9,3,410740104.273117,103.999999999872,17.6664126403545,14.8610877987861,11.2326388602109,9.99675113670146,9.00000000008488
conf_10_0.5_type_bfs_sample_4,4,4,5,836672496.391763,284.727253788307,22.6302081002301,17.3341249316023,11.7318022297369,10.1557567316566,8.99999999972954
conf_10_0.5_type_dfs_sample_4,3,9,5,301481872.201126,119.999999999919,17.9590509576791,14.9907875057821,11.2497830232249,9.99999097512822,9.00000000006982
