Unnamed: 0,max_degree,depth,0.1,0.5,0.75,0.8,0.9,0.95,1,best_dfs_outer_loops,worst_dfs_outer_loops
conf_8_0.4_type_bfs_sample_0,3,4,9052625.35644671,89.9999999993359,14.8056698673465,12.1682739254455,8.90386912384688,7.83931670949788,6.99999999991242,5,6
conf_8_0.4_type_dfs_sample_0,4,5,8323008.18427638,113.999999999974,17.3406492911849,13.7942504880104,9.45730779350613,8.07305534441098,6.99999999998257,3,6
conf_8_0.4_type_bfs_sample_1,5,4,9194158.75726567,156.719999998909,21.5948748726404,16.5185579619508,10.354839984411,8.43966721365251,6.99999999997808,5,5
conf_8_0.4_type_dfs_sample_1,3,7,12706392.3818934,66.0000000001192,13.6643804297042,11.5274047847419,8.73263656929013,7.77452889108129,6.99999999996765,3,5
conf_8_0.4_type_bfs_sample_2,3,4,8292237.88000882,109.199999999491,16.6676662307137,13.2998245750044,9.23685094685723,7.96803595189023,6.99999999992845,5,9
conf_8_0.4_type_dfs_sample_2,2,8,7277891.61797439,56.0000000000068,13.0004572473309,11.1111450193296,8.59375003263479,7.71604938256476,7.00000000003381,2,2
conf_8_0.4_type_bfs_sample_3,4,4,8283959.07842291,102.799999999934,16.5114790358009,13.3075054038343,9.31245212060788,8.01396490917443,7.00000000012786,5,8
conf_8_0.4_type_dfs_sample_3,2,8,11638407.8507053,55.9999999995694,13.0004572473386,11.1111450193045,8.59375003266121,7.7160493825789,6.99999999998968,2,2
conf_8_0.4_type_bfs_sample_4,4,4,16013487.5270074,172.800000000734,20.2847694090586,15.4950225484818,9.93953688418378,8.26123220477014,6.9999999999984,5,5
conf_8_0.4_type_dfs_sample_4,4,4,16013487.5270074,172.800000000734,20.2847694090586,15.4950225484818,9.93953688418378,8.26123220477014,6.9999999999984,5,5
conf_10_0.3_type_bfs_sample_0,3,5,4101302055.5596,263.999999999877,21.2222872056283,16.7061988740158,11.6534569714439,10.1417682731979,8.99999999992196,5,8
conf_10_0.3_type_dfs_sample_0,3,9,1110696917.76262,136.160000000559,19.395052468642,15.891234021113,11.5410239804273,10.1198560309297,9.0000000000844,3,5
conf_10_0.3_type_bfs_sample_1,4,4,871292582.484077,276.000000000254,21.4288472286623,16.8778610227253,11.7499068564092,10.1913564015914,9.00000000003622,6,8
conf_10_0.3_type_dfs_sample_1,3,8,669463563.773881,166.559999999865,21.4353153512342,17.1826373776315,11.9693169421267,10.2980312724525,8.99999999980612,3,8
conf_10_0.3_type_bfs_sample_2,4,4,1296545821.06866,323.999999999921,25.2533404459872,19.1421524042216,12.4051919078701,10.4460287644518,8.99999999987027,5,6
conf_10_0.3_type_dfs_sample_2,4,6,625609965.302352,223.800000000796,22.9725769728552,17.8854936315661,12.0671952739069,10.3169922912085,8.99999999995871,3,11
conf_10_0.3_type_bfs_sample_3,4,4,1453886668.09629,310.800000000257,24.9429409629595,19.05823118177,12.4597176444702,10.4868307982264,8.99999999993373,6,9
conf_10_0.3_type_dfs_sample_3,2,10,268807565.8234,89.9999999999687,17.000050805258,14.4444465634028,11.0937500003887,9.93827160460245,9.00000000007941,2,2
conf_10_0.3_type_bfs_sample_4,5,5,4514643727.18045,619.999999999681,32.9457907839153,23.2421112052947,13.4389280065925,10.8336701029723,8.99999999991171,5,5
conf_10_0.3_type_dfs_sample_4,3,9,474449220.543358,114.000000000295,17.8877203678216,14.9651527401628,11.2480706976647,9.99982900559419,9.00000000008326,3,5
conf_10_0.5_type_bfs_sample_0,7,3,1728046791.08265,774.000000005064,39.0535995526966,26.779289244842,14.4866786071066,11.2566407622518,8.99999999988579,5,5
conf_10_0.5_type_dfs_sample_0,3,8,877297513.434346,140.900000000466,19.6855304837509,16.0400901018327,11.5673037578165,10.1255510382036,9.00000000000136,3,8
conf_10_0.5_type_bfs_sample_1,6,3,1711152820.76414,654.000000004427,34.4738098870698,24.2432785026143,13.8129966326403,11.0002093417734,9.00000000016658,5,6
conf_10_0.5_type_dfs_sample_1,2,10,305366233.447312,89.9999999998008,17.0000508052642,14.4444465634262,11.0937500003597,9.93827160460853,9.00000000007501,2,2
conf_10_0.5_type_bfs_sample_2,6,4,919313230.888499,597.360000001834,39.9267917311094,27.9230929828253,15.0508786622392,11.499604992754,8.99999999994262,5,6
conf_10_0.5_type_dfs_sample_2,3,8,296071778.49088,133.199999999416,19.3726896897601,15.900996561281,11.5496362668614,10.1222823336507,8.9999999999063,5,5
conf_10_0.5_type_bfs_sample_3,4,3,2801943474.40938,529.999999999319,28.6738810140214,21.0128021233555,12.9560468597332,10.6762354178468,8.99999999996234,5,6
conf_10_0.5_type_dfs_sample_3,3,9,410740104.272455,103.999999999899,17.6664126403528,14.8610877987776,11.2326388602228,9.99675113669764,9.00000000006579,3,3
conf_10_0.5_type_bfs_sample_4,4,4,8071573091.58612,570.000000001204,28.156480211171,20.4624938957429,12.6447888766561,10.5220575064834,8.99999999974646,5,5
conf_10_0.5_type_dfs_sample_4,3,9,301481872.201126,119.999999999919,17.9590509576791,14.9907875057821,11.2497830232249,9.99999097512822,9.00000000006982,3,5
conf_11_0.1_type_bfs_sample_0,3,9,451302507.498428,173.999999999831,20.7867364392371,17.1546220775163,12.6524151413681,11.1724979911304,10.0000000000418,3,8
conf_11_0.1_type_dfs_sample_0,3,9,451302507.498428,173.999999999831,20.7867364392371,17.1546220775163,12.6524151413681,11.1724979911304,10.0000000000418,3,8
conf_11_0.1_type_bfs_sample_1,5,6,45561155654.4968,1020.00000000049,38.7456519164201,26.9121322624258,15.2548181127094,12.1779583160215,10.0000000000665,5,5
