Unnamed: 0,max_degree,depth,outer_loops,0.1,0.5,0.75,0.8,0.9,0.95,1.0
conf_8_0.4_type_bfs_sample_0,3,4,6,398820534.4787277,275.11111111160824,34.08949845128359,27.465589473961085,19.504483613337083,16.971219044038513,15.000000000075111
conf_8_0.4_type_dfs_sample_0,4,5,6,821002629.9938779,365.7777777792039,33.10172159777971,25.70236831759487,17.375336031127343,14.88291192412991,13.000000000012376
conf_8_0.4_type_bfs_sample_1,5,4,5,33114429590.08269,551.4285714286336,32.533833344316825,25.29752374674277,17.291897077781233,14.865105814391937,12.99999999990103
conf_8_0.4_type_dfs_sample_1,3,7,5,10898054.394853337,237.9999999994088,33.439414723345685,26.2734985344838,17.71406630462393,15.044546854817073,12.99999999996236
conf_8_0.4_type_bfs_sample_2,3,4,9,15088210118.575684,982.0000000002572,42.47557113567317,30.433225630838965,18.47784816589712,15.283261015371291,12.999999999991225
conf_8_0.4_type_dfs_sample_2,2,8,2,3668269320.52484,289.5500000000141,33.414763126162306,27.13871500930328,19.45651859698187,16.961819893444805,14.999999999939016
conf_8_0.4_type_bfs_sample_3,4,4,8,811639265.7423255,266.6406926407287,29.85941897498857,23.99637613961875,16.978382753218845,14.743305548648712,13.000000000081746
conf_8_0.4_type_dfs_sample_3,2,8,2,82258032.9876524,216.29629629653544,27.3504596932102,21.550586253016768,14.703218423700058,12.597560680466598,10.99999999994756
conf_8_0.4_type_bfs_sample_4,4,4,5,1641280.8661101323,94.61052631596742,21.439652218313128,18.09766973333369,13.718479374183389,12.216039320380428,10.999999999965242
conf_8_0.4_type_dfs_sample_4,4,4,5,224377003.4550563,160.6666666667017,22.852629563213807,18.853836967371567,13.905378762947826,12.28391424172596,11.000000000090836
conf_10_0.3_type_bfs_sample_0,3,5,8,9200578973.877377,1097.999999996459,44.27906189081787,30.18170437012186,16.722784318622228,13.330719573895523,11.000000000021522
conf_10_0.3_type_dfs_sample_0,3,9,5,17065692634.989183,1186.7272727253128,44.257378076982896,30.35478379523213,16.903659281699458,13.428756229754129,10.99999999986016
conf_10_0.3_type_bfs_sample_1,4,4,8,911022228.8970504,508.1391484953565,32.66069581778041,23.339002605896745,13.560090500474107,10.890663981839388,8.999999999918423
conf_10_0.3_type_dfs_sample_1,3,8,8,8300718343.300692,788.9487394949846,36.124604653942605,25.926073532334293,15.736764156624588,12.98315183263084,11.000000000115424
conf_10_0.3_type_bfs_sample_2,4,4,6,2661049284.893412,557.9999999989111,32.6635167401896,24.145889281387905,15.272247900921432,12.80011645685662,10.999999999992438
conf_10_0.3_type_dfs_sample_2,4,6,11,141708264.39008895,236.66666666693607,29.631562462798986,23.797309064564526,16.871840485847983,14.691138791909658,13.000000000128487
conf_10_0.3_type_bfs_sample_3,4,4,9,9761514.214686353,168.00000000033484,31.09647919522122,25.76934814369972,19.025161985892915,16.78342682171069,14.99999999988362
conf_10_0.3_type_dfs_sample_3,2,10,2,74139339.99857174,172.00000000028632,28.293247980332044,23.193435668175105,16.789247663874367,14.675248280361036,12.99999999998647
conf_10_0.3_type_bfs_sample_4,5,5,5,612209108.7299837,198.5333333330701,31.605193842828207,26.0979693216947,19.14904183322708,16.838846431575774,14.99999999977842
conf_10_0.3_type_dfs_sample_4,3,9,5,1953469685.326824,326.746666666822,29.858449698527703,23.88028731319608,16.883622275500233,14.693793860342623,12.999999999922546
conf_10_0.5_type_bfs_sample_0,7,3,5,1021339.9999731482,124.00000000022187,24.97668038422345,20.338134765161627,14.449882489208576,12.516826286841637,11.00000000012831
conf_10_0.5_type_dfs_sample_0,3,8,8,222230.00000268224,126.0000000004764,27.04526748970466,21.76757812455177,14.9812867278586,12.746848974587865,10.99999999999848
conf_10_0.5_type_bfs_sample_1,6,3,6,211339.99999747152,107.99999999992824,24.62551440325438,20.18554687445809,14.431065724911951,12.513425351242828,10.999999999994118
conf_10_0.5_type_dfs_sample_1,2,10,2,148752372.21227473,229.9999999979859,24.245694254015945,18.67958068808392,12.334418456505048,10.431349458755903,9.000000000086269
conf_10_0.5_type_bfs_sample_2,6,4,6,1659430.7314454296,106.00000000037387,20.085048010955653,16.367675780972306,11.700794631851084,10.18353470711029,9.00000000002452
conf_10_0.5_type_dfs_sample_2,3,8,5,9013207.803910969,112.00000000036812,16.29819526218579,13.08719860476687,9.19641313694881,7.959321477699189,7.000000000116209
conf_10_0.5_type_bfs_sample_3,4,3,6,202602734.0947685,210.0000000006663,24.851292993851366,20.07356643633564,14.310769015451974,12.456632465345985,10.999999999970964
conf_10_0.5_type_dfs_sample_3,3,9,3,905539.0810796112,77.84000000026914,17.925065341341575,15.031793606332467,11.269909155389689,10.005151831170275,8.999999999983041
conf_10_0.5_type_bfs_sample_4,4,4,5,904787.1809066004,75.60000000010082,17.69062430221021,14.900053216627882,11.244260146289792,9.999487966316506,8.999999999939696
conf_10_0.5_type_dfs_sample_4,3,9,5,90381439.99924344,255.9999999998569,27.846974546516115,21.719436644993927,14.712483210844395,12.598323461205814,11.000000000100588
